Symbol,Security,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,Founded
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/15/13,
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",6/11/15,
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,"Houston, Texas",7/1/09,
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California",,1985
DGX,Quest Diagnostics,Health Care,Health Care Services,"Madison, New Jersey",12/12/02,
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/2/07,
RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",3/20/17,
RTN,Raytheon Co.,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,1922
O,Realty Income Corporation,Real Estate,Retail REITs,"San Diego, California",4/7/15,
REG,Regency Centers Corporation,Real Estate,Retail REITs,"Jacksonville, Florida",3/2/17,
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",5/1/13,
RF,Regions Financial Corp.,Financials,Regional Banks,"Birmingham, Alabama",8/28/98,
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",12/5/08,
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",7/26/17,
RHI,Robert Half International,Industrials,Human Resource & Employment Services,"Menlo Park, California",12/5/00,
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,
ROL,Rollins Inc.,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",10/1/18,
ROP,Roper Technologies,Industrials,Industrial Conglomerates,"Sarasota, Florida",12/23/09,
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Pleasanton, California",12/21/09,
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/5/14,
SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,"New York, New York",,
CRM,Salesforce.com,Information Technology,Application Software,"San Francisco, California",9/15/08,
SBAC,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida",9/1/17,
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",3/31/65,1926
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",7/2/12,
SEE,Sealed Air,Materials,Paper Packaging,"Elmwood Park, New Jersey",,
SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",,
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",11/21/19,2003
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",6/30/64,1866
SPG,Simon Property Group Inc,Real Estate,Retail REITs,"Indianapolis, Indiana",6/26/02,2003
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts",3/12/15,
SLG,SL Green Realty,Real Estate,Office REITs,"New York, New York",3/20/15,
SNA,Snap-on,Industrials,Industrial Machinery,"Kenosha, Wisconsin",9/30/82,1920
SO,Southern Co.,Utilities,Electric Utilities,"Atlanta, Georgia",,
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",7/1/94,
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,"New Britain, Connecticut",9/30/82,
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",,1971
STT,State Street Corp.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,
SYK,Stryker Corp.,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/00,
SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California",3/19/18,
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",11/18/15,
SNPS,Synopsys Inc.,Information Technology,Application Software,"Mountain View, California",3/16/17,
SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas",12/31/86,
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",7/15/19,
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1937
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York, New York",3/19/18,
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,2017
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",12/31/76,
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",10/17/11,
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",6/5/09,
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",1/18/19,1943
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,1930
TXT,Textron Inc.,Industrials,Aerospace & Defense,"Providence, Rhode Island",12/31/78,
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",,2006
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",6/21/00,
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/85,
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1/24/14,
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",6/3/16,
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",8/21/02,
TRIP,TripAdvisor,Communication Services,Interactive Media & Services,"Newton, Massachusetts",12/21/11,
TFC,Truist Financial,Financials,Regional Banks,"Charlotte, North Carolina",12/4/97,
TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,"San Francisco, California",6/7/18,
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,
UDR,"UDR, Inc.",Real Estate,Residential REITs,"Highlands Ranch, Colorado",3/7/16,
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",4/18/16,
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",,1968
UAA,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",3/25/16,
UA,Under Armour Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",5/1/14,
UNP,Union Pacific Corp,Industrials,Railroads,"Omaha, Nebraska",,
UAL,United Airlines Holdings,Industrials,Airlines,"Chicago, Illinois",9/3/15,
UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/94,
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",7/22/02,
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/14,
UTX,United Technologies,Industrials,Aerospace & Defense,"Hartford, Connecticut",,
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/14,
UNM,Unum Group,Financials,Life & Health Insurance,"Chattanooga, Tennessee",3/1/94,
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",6/30/79,
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1980
VAR,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California",2/12/07,
VTR,Ventas Inc,Real Estate,Health Care REITs,"Chicago, Illinois",3/4/09,
VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2/1/06,
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",10/8/15,
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,"New York, New York",11/30/83,
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts",9/23/13,
VIAC,ViacomCBS,Communication Services,Movies & Entertainment,"New York, New York",,
V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",12/21/09,
VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York, New York",,
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",6/30/99,
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",12/5/19,1967
WAB,Wabtec Corporation,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania",2/27/19,
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",8/31/82,
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/79,
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California",6/30/76,
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,"Houston, Texas",,1968
WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",,1958
WEC,Wec Energy Group Inc,Utilities,Electric Utilities,"Milwaukee, Wisconsin",10/31/08,
WCG,WellCare,Health Care,Managed Health Care,"Tampa, Florida",1985,
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",6/30/76,
WELL,Welltower Inc.,Real Estate,Health Care REITs,"Toledo, Ohio",1/30/09,
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",7/1/09,
WU,Western Union Co,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",,1851
WRK,WestRock,Materials,Paper Packaging,"Richmond, Virginia",,
WY,Weyerhaeuser,Real Estate,Specialized REITs,"Federal Way, Washington",,
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,1911
WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/31/75,
WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",1/5/16,
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",11/14/08,
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,1909
XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,1906
XLNX,Xilinx,Information Technology,Semiconductors,"San Jose, California",11/8/99,
XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",11/1/11,
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",10/6/97,
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,"Warsaw, Indiana",8/7/01,
ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",6/22/01,
ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",6/21/13,
